id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37485,"Students fail to identify division as the appropriate operation in partitive contexts when the divisor is a decimal, as it violates the intuitive rule that the divisor must be a whole number.","For the problem 'I spent 900 lire for 0.75 hg of cocoa. What is the price of 1 hg?', students frequently incorrectly chose 900 x 0.75 instead of 900 ÷ 0.75.",decimal,division,decimal divisors,student,"Grades 5, 7, and 9",JRME_Fischbein_1985_Role,"Efraim Fischbein, Maria Deri, Maria Sainati Nello and Maria Sciolis Marino",1985,Journal for Research in Mathematics Education,uncoded,primary,"7, 12, 13",pdfs/JRME/JRME_Fischbein_1985_Role.pdf
37502,"Students incorrectly assume that multiplication always results in a larger product, regardless of whether the multiplier is a decimal less than one.","A student explained, 'Since a number is multiplied by another number, the result is larger. Therefore, 72 x 0.46 is greater than 36.'",decimal,multiplication,relative effects of operations,student,sixth- and eighth-grade,JRME_Reys_1998_Relationship,Robert E. Reys and Der-Ching Yang,1998,Journal for Research in Mathematics Education,uncoded,secondary,233,pdfs/JRME/JRME_Reys_1998_Relationship.pdf
37518,"Students overgeneralize a rule about decimal multiplication, assuming that multiplying by any decimal number automatically results in a smaller product, without considering the specific value of the decimal.","After rounding 486 x 0.24 to 500 x 0.24, a student produced an estimate of 50, explaining that 'A decimal number gives smaller numbers when it is multiplied'.",decimal,multiplication,estimating products,student,fifth- and eighth-grade,JRME_Reys_1991_Computational,"Robert E. Reys, Barbara J. Reys, Nobuhiko Nohda, Junichi Ishida, Shigeo Yoshikawa and Katsuhiko Shimizu",1991,Journal for Research in Mathematics Education,uncoded,secondary,51,pdfs/JRME/JRME_Reys_1991_Computational.pdf
37557,"Preservice teachers distrust their correct computational results if those results violate their belief that division makes smaller, often incorrectly adjusting procedures like 'moving the decimal' to ensure a smaller quotient.","A subject calculated 10 ÷ 0.5 as 20 by changing it to 100 ÷ 5, but then questioned the result, stating 'the answer to the original problem is smaller' because she was confused by the decimal point shift.",decimal,division,division algorithm,PST,sophomores or juniors,JRME_Tirosh_1990_Evoking,Dina Tirosh and Anna O. Graeber,1990,Journal for Research in Mathematics Education,uncoded,primary,"103, 104, 106",pdfs/JRME/JRME_Tirosh_1990_Evoking.pdf
37597,"Students treat whole numbers and decimal fractions as distinct units separated by a 'decorative dot', applying mathematical operations symmetrically to both sides without regard to place value.",A student adds 2.5 + 1 and gets 3.6 by applying the addition to both sides of the decimal point.,decimal,addition,role of the decimal point,student,Year 7 and 8 (ages 11 and 12),JRME_Irwin_2001_Using,Kathryn C. Irwin,2001,Journal for Research in Mathematics Education,uncoded,primary,"402, 405",pdfs/JRME/JRME_Irwin_2001_Using.pdf
37599,Students incorrectly translate common fractions to decimals by treating the fraction's components directly as decimal digits.,"A student believes that 1/4 can be written as 0.4, or that 93 1/4 is written as 93.04 in decimals.",decimal,representations,fractions to decimals,student,Year 7 and 8 (ages 11 and 12),JRME_Irwin_2001_Using,Kathryn C. Irwin,2001,Journal for Research in Mathematics Education,uncoded,primary,"402, 405, 406, 411",pdfs/JRME/JRME_Irwin_2001_Using.pdf
37615,"Students compare decimal fractions by treating the decimal portion as a whole number, concluding that the decimal with more digits is larger.",A student might conclude that 3.214 is greater than 3.8 because 214 as a whole number is larger than 8.,decimal,decimal comparison,whole number rule,student,fourth to sixth grade,JRME_Resnick_1989_Conceptual,"Lauren B. Resnick, Pearla Nesher, Francois Leonard, Maria Magone, Susan Omanson and Irit Peled",1989,Journal for Research in Mathematics Education,productive,primary,"9, 11, 20, 24",pdfs/JRME/JRME_Resnick_1989_Conceptual.pdf
37617,Students apply a specialized whole number rule where they assume any decimal with a zero immediately following the decimal point is smaller than a decimal with a nonzero digit in that position.,"Given 3.214, 3.09, and 3.8, a student chooses 3.09 as the smallest because of the zero, but then incorrectly orders the rest as 3.8 < 3.214.",decimal,decimal comparison,zero rule,student,fourth to sixth grade,JRME_Resnick_1989_Conceptual,"Lauren B. Resnick, Pearla Nesher, Francois Leonard, Maria Magone, Susan Omanson and Irit Peled",1989,Journal for Research in Mathematics Education,productive,primary,"9, 13, 24",pdfs/JRME/JRME_Resnick_1989_Conceptual.pdf
37619,"When translating ordinary fractions to decimal notation, students encode only the denominator into the decimal and ignore the numerator.","A student translates 1/3 as .3, and 3/4 as .04 or .4.",decimal,fraction-to-decimal translation,denominator encoding,student,fourth to sixth grade,JRME_Resnick_1989_Conceptual,"Lauren B. Resnick, Pearla Nesher, Francois Leonard, Maria Magone, Susan Omanson and Irit Peled",1989,Journal for Research in Mathematics Education,uncoded,secondary,23,pdfs/JRME/JRME_Resnick_1989_Conceptual.pdf
37634,"Students believe that the real number system contains gaps or that there is an infinitely small distance between 0.999... and 1, rather than recognizing them as equal.","When asked what is between 0.999... and 1, a student claimed that 'you can't really answer because 0.999... goes on forever and never finishes.'",decimal,real number system,density and infinity,student,second-semester calculus,JRME_Szydlik_2000_Mathematical,Jennifer Earles Szydlik,2000,Journal for Research in Mathematics Education,uncoded,secondary,"265, 266",pdfs/JRME/JRME_Szydlik_2000_Mathematical.pdf
37637,Students believe a decimal number with more digits is larger because they interpret the digits after the decimal point as a whole number.,A student claimed 7.89 is bigger than 7.9 because 'eight nine is bigger than nine.',decimal,ordering,comparing magnitudes,student,fourth-grade,JRME_Thompson_1992_Notations,Patrick W. Thompson,1992,Journal for Research in Mathematics Education,uncoded,primary,140,pdfs/JRME/JRME_Thompson_1992_Notations.pdf
37698,There exist numbers on the real number line that are infinitely close to each other.,The student identifies '3.999999 repeating forever' and '4' as two different numbers that are infinitely close to one another.,decimal,real number line,infinitely close numbers,student,sophomore,JRME_Ely_2010_Nonstandard,Robert Ely,2010,Journal for Research in Mathematics Education,productive,primary,"127, 128, 129",pdfs/JRME/JRME_Ely_2010_Nonstandard.pdf
37701,"The repeating decimal 0.999... does not equal 1, because accepting their equality would violate the internal consistency of the student's nonstandard infinitesimal framework.","The student rejected the algebraic proof that 0.999... equals 1, arguing that 'The only reason to have 0.9 repeating is to show that it's not 1!'",decimal,repeating decimals,equality to 1,student,sophomore,JRME_Ely_2010_Nonstandard,Robert Ely,2010,Journal for Research in Mathematics Education,productive,primary,"137, 138",pdfs/JRME/JRME_Ely_2010_Nonstandard.pdf
37751,The prospective teacher procedurally memorizes visual diagrams for operations without understanding the conceptual link between the diagram and the algorithm.,"She drew a rectangle for 2.35 x .7, shaded intersections, but then decided what place value each product had and couldn't complete the explanation.",decimal,multiplication,area model,PST,grades K-8,JRME_Eisenhart_1993_Conceptual,"Margaret Eisenhart, Hilda Borko, Robert Underhill, Catherine Brown, Doug Jones and Patricia Agard",1993,Journal for Research in Mathematics Education,uncoded,primary,"16, 17",pdfs/JRME/JRME_Eisenhart_1993_Conceptual.pdf
37800,"Preservice teachers incorrectly overgeneralize the procedure for finding a unit fraction of a quantity to pure decimals, erroneously dividing the quantity by the decimal to find a decimal part of a number.","To find .75 of 15, preservice teachers wrote an expression to divide 15 by .75, reasoning that 'To find a [pure] decimal part of a number, you ought to divide the number by the decimal.'",decimal,multiplication,decimal operands,PST,early elementary education majors,JRME_Graeber_1989_Preservice,"Anna O. Graeber, Dina Tirosh and Roseanne Glover",1989,Journal for Research in Mathematics Education,uncoded,primary,"98, 99",pdfs/JRME/JRME_Graeber_1989_Preservice.pdf
37815,"Students compare decimals by treating the fractional part as a whole number, concluding that a longer decimal string is a larger number.",A student selected .42 as larger than .5 and explained that 'forty-two is bigger than five.',decimal,decimal comparison,whole number rule,student,"Grades 4, 5, and 6",JRME_Wearne_1988_Cognitive,Diana Wearne and James Hiebert,1988,Journal for Research in Mathematics Education,uncoded,primary,378,pdfs/JRME/JRME_Wearne_1988_Cognitive.pdf
37838,"Students reject the equality of 0.999... and 1 by viewing the repeating decimal as a sequence of approximations with an infinitely small error, rather than acknowledging an exact limit.",Students disagreed that 0.999... = 1 by describing the difference between the partial sums and 1 as 'irrelevant' or 'negligible differences' and 'infinitely small errors' that 'don't matter'.,decimal,infinite series,repeating decimals,student,freshmen,JRME_Oehrtman_2009_Collapsing,Michael Oehrtman,2009,Journal for Research in Mathematics Education,uncoded,primary,"414, 415",pdfs/JRME/JRME_Oehrtman_2009_Collapsing.pdf
37983,"Students create incorrect written representations of decimals by directly combining different units, using the decimal point to separate them without regard for formal decimal place value.","When adding 30 agorot to 7.70, a student writes '7.100' to represent 7 NIS and 100 agorot.",decimal,decimal representation,Place value and units,student,fifth grade,ZDM_Broza_2015_Contingent,"Orit Broza, Yifat Ben-David Kolikant",2015,ZDM Mathematics Education,productive,primary,1099,pdfs/ZDM/ZDM_Broza_2015_Contingent.pdf
38056,"Students evaluate decimal numbers as if they were whole numbers, leading them to believe that longer decimals represent larger values.",Students consider 0.8 to be smaller than 0.14 because they treat the decimal digits as whole numbers where 14 is greater than 8.,decimal,decimal magnitude,Comparing decimals,student,primary school,ZDM_Sembiring_2008_Reforming,"Robert K. Sembiring, Sutarto Hadi, Maarten Dolk",2008,ZDM Mathematics Education,deficit,secondary,932,pdfs/ZDM/ZDM_Sembiring_2008_Reforming.pdf
38146,Students incorrectly assume that longer decimals are larger and shorter decimals are smaller by inappropriately applying natural number magnitude knowledge.,Incorrectly concluding that 0.12 is larger than 0.5 because the natural number 12 is larger than 5.,decimal,decimal comparison,Decimal length,student,fourth graders,ZDM_Hoof_2015_Inhibiting,"Jo Van Hoof, Rianne Janssen, Lieven Verschaffel, Wim Van Dooren",2015,ZDM Mathematics Education,productive,primary,850,pdfs/ZDM/ZDM_Hoof_2015_Inhibiting.pdf
38306,Students blindly applied the strategy of adding zeroes to the end of a decimal number to make it the same length as another without understanding why the value remained unchanged.,Adding zeroes to the end of a decimal number to make it 'look like' the other decimal numbers with which a student is working.,decimal,equivalence,adding zeroes,student,fifth grade,JMB_Lachance_2002_Helping,"Andrea Lachance, Jere Confrey",2002,Journal of Mathematical Behavior,deficit,secondary,518,pdfs/JMB/JMB_Lachance_2002_Helping.pdf
38397,"Students interpret the digits to the right of the decimal point as mirror images of whole numbers, incorrectly assuming the place value progresses by multiplying by 10 as you move to the right.","Siu Wai responded that 'in 0.354, 3 is tens and represents 30, 5 is hundreds and represents 500, 4 is thousands and represents 4000'.",decimal,decimal notation,place value quantities,student,Grade 4,JMB_Lai_2017_Revisiting,"Mun Yee Lai, Jeffrey P. Wong",2017,Journal of Mathematical Behavior,deficit,primary,,pdfs/JMB/JMB_Lai_2017_Revisiting.pdf
38399,"Students select the decimal with more decimal places as the larger decimal, treating the sequence of digits after the decimal point as another whole number.","Kwok Chung replied that '0.384 was bigger than 0.32 because 384 in 0.384 was three hundred and eighty-four, which is bigger than thirty-two in 0.32'.",decimal,comparing decimals,number of decimal places,student,Grade 4,JMB_Lai_2017_Revisiting,"Mun Yee Lai, Jeffrey P. Wong",2017,Journal of Mathematical Behavior,deficit,primary,,pdfs/JMB/JMB_Lai_2017_Revisiting.pdf
38401,"Students confuse decimals with negative numbers, leading them to believe that any decimal number is a quantity smaller than zero.",Hok Ching responded that 'zero is bigger than 0.5 which is bigger than 0.3.',decimal,comparing decimals,comparison with zero,student,Grade 4,JMB_Lai_2017_Revisiting,"Mun Yee Lai, Jeffrey P. Wong",2017,Journal of Mathematical Behavior,deficit,secondary,,pdfs/JMB/JMB_Lai_2017_Revisiting.pdf
38416,"Students determine the position of negative decimals by translating the arrangement of positive intervals into the negative region, incorrectly maintaining a left-to-right increasing order for the decimal portion rather than reflecting it.","Students incorrectly located -1.2 at -0.8 and -1.3 at -0.7, effectively interpreting -1.2 as -1 + 0.2 instead of -1 - 0.2, because they assumed -1.2 must be to the left of -1.3 just as 1.2 is to the left of 1.3.",decimal,number line representation,negative decimals,PST,pre-service primary teachers,JMB_Widjaja_2011_Locating,"Wanty Widjaja, Kaye Stacey, Vicki Steinle",2011,Journal of Mathematical Behavior,deficit,primary,88-90,pdfs/JMB/JMB_Widjaja_2011_Locating.pdf
38499,"Students assess the magnitude of decimals by counting the number of digits, believing either that longer decimals are larger or that shorter decimals are larger.","Students may believe that 0.456 is larger than 0.47 because it is longer, or that 0.3 is larger than 0.432 because it is shorter.",decimal,comparing decimals,magnitude,student,middle grades,JMB_Bush_2013_Prerequisite,"Sarah B. Bush, Karen S. Karp",2013,Journal of Mathematical Behavior,deficit,primary,617,pdfs/JMB/JMB_Bush_2013_Prerequisite.pdf
38532,Students may switch back and forth between describing a repeating decimal as a numerical object and as a never-ending process to accommodate cognitive conflicts about equality.,"Andrew described 1-0.999... first as a distinct number (0.000...1), but when asked to plot it, described it as a never-ending process of subdivisions that is impossible to represent.",decimal,repeating decimals,object vs. process,student,Grade 8,JMB_Yopp_2018_When,David A. Yopp,2018,Journal of Mathematical Behavior,deficit,primary,,pdfs/JMB/JMB_Yopp_2018_When.pdf
38565,"Students incorrectly evaluate decimal magnitudes based on the natural number rule that a number with more digits is larger, or by comparing the fractional parts as if they were independent natural numbers.",A student might judge that 2.12 is larger than 2.2 because 12 is larger than 2 or because 2.12 has more digits.,decimal,comparison,decimal length,student,university students,JMB_Vamvakoussi_2012_Naturally,"Xenia Vamvakoussi, Wim Van Dooren, Lieven Verschaffel",2012,Journal of Mathematical Behavior,deficit,secondary,345-346,pdfs/JMB/JMB_Vamvakoussi_2012_Naturally.pdf
