id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37545,"PSTs overgeneralize the standard base-ten subtraction algorithm to calculate elapsed time, failing to recognize that an hour must be regrouped as 60 minutes rather than 100.","When presented with a student's work subtracting 2:53 from 7:08 that regrouped 1 hour into 100 minutes, 9 of 15 PSTs initially thought the child's base-ten application was correct.",measurement,elapsed time,regrouping,PST,elementary,JRME_Thanheiser_2009_Preservice,Eva Thanheiser,2009,Journal for Research in Mathematics Education,uncoded,primary,"259, 272, 273",pdfs/JRME/JRME_Thanheiser_2009_Preservice.pdf
37566,Students apply the concept of two-dimensional area to one-dimensional or three-dimensional real-world contexts.,"Students mistakenly claimed that area is needed to measure 'the lengths of boards,' 'how much liquid,' 'the thickness of concrete,' and the 'height of a pole.'",measurement,area,dimensionality,student,fifth-grade,JRME_Pesek_2000_Interference,Dolores D. Pesek and David Kirshner,2000,Journal for Research in Mathematics Education,uncoded,secondary,536,pdfs/JRME/JRME_Pesek_2000_Interference.pdf
37568,Students invent illogical explanations for the components of measurement formulas based on superficial features of the shapes rather than mathematical relationships.,"When asked to explain the '2' in the perimeter formula P = 2(l + w), students responded 'the length is 2 and the width is 2' or 'because it has 2 different sides'. For the area of a triangle formula, a student reasoned 'there's three sides on a triangle [therefore] ... there's three numbers.'",measurement,area and perimeter,formulas,student,fifth-grade,JRME_Pesek_2000_Interference,Dolores D. Pesek and David Kirshner,2000,Journal for Research in Mathematics Education,uncoded,primary,537,pdfs/JRME/JRME_Pesek_2000_Interference.pdf
37711,"Students interpret the hour on an analog clock based on strict precise alignment or by treating the interval as a discrete container, incorrectly stating the prior hour if the hand is not exactly on the dot.","When asked to identify 7:00 with the hour hand directly on the 7, a student stated 'Six o'clock' because the hour hand was 'not precise' and therefore 'you go backwards.'",measurement,telling time,interpreting analog clock hands,student,Grades 2 and 4,JRME_Earnest_2017_Clock,Darrell Earnest,2017,Journal for Research in Mathematics Education,uncoded,primary,"194, 205, 206, 216",pdfs/JRME/JRME_Earnest_2017_Clock.pdf
37713,"Students apply a rigid procedural rule to elapsed time in digital notation by mapping words like 'half' directly to '30' in the final answer, failing to compose the elapsed minutes with the starting minutes.","When asked to add an hour and a half to 5:30, a student wrote 6:30, reasoning that 'half an hour is 30 minutes, so I just put a 30 there.'",measurement,elapsed time,composing digital hour and minute units,student,Grades 2 and 4,JRME_Earnest_2017_Clock,Darrell Earnest,2017,Journal for Research in Mathematics Education,uncoded,primary,"211, 212, 213, 214",pdfs/JRME/JRME_Earnest_2017_Clock.pdf
37721,"Students experience interference from related concepts or expected representations, such as confusing perimeter with area or misaligning horizontal calculations.","Using a formula for area when perimeter is appropriate, or experiencing interference with expected vertical alignment when a problem is presented horizontally.",measurement,area and perimeter,formulas,student,sixth-grade,JRME_Marshall_1983_Sex,Sandra P. Marshall,1983,Journal for Research in Mathematics Education,uncoded,primary,333,pdfs/JRME/JRME_Marshall_1983_Sex.pdf
37805,Students conceive angle measures strictly as labels or pointers for geometric objects rather than as a measurable quantity representing a multiplicative relationship between an arc and a circle's radius.,"Zac conceived angle measures as labels for geometric objects, explaining that a line is 180 degrees and a circle is 360 degrees, and estimated openness instead of measuring.",measurement,angle measure,meaning of angle measure,student,undergraduate,JRME_Moore_2014_Quantitative,Kevin C. Moore,2014,Journal for Research in Mathematics Education,uncoded,primary,115,pdfs/JRME/JRME_Moore_2014_Quantitative.pdf
37841,Students blindly follow measurement and formula procedures without applying common sense or recognizing the physical constraints of the task.,"After cutting a 25 cm^2 square into different shapes, a college student accepts different calculated areas (like 24.5) due to measurement errors without realizing the pieces must all conserve the original area.",measurement,area,conservation of area,mixed,"preschool, primary, junior high",JRME_Baroody_1990_Chapter,Arthur J. Baroody and Herbert P. Ginsburg,1990,Journal for Research in Mathematics Education. Monograph,uncoded,secondary,61,pdfs/JRME/JRME_Baroody_1990_Chapter.pdf
38034,"Students mistakenly use additive operations instead of multiplicative ratios when comparing the measures of two objects, failing to interpret measurement as a ratio between a unit quantity and the object being measured.",A student who correctly claimed a larger box could contain 900 unit cubes incorrectly stated that the larger box was 899 times larger than the small unit cube.,measurement,volume and area comparison,Multiplicative versus additive reasoning,student,grades 2 through 5,ZDM_Barrett_2011_Children's,"Jeffrey E. Barrett, Craig Cullen, Julie Sarama, Douglas H. Clements, David Klanderman, Amanda L. Miller, Chepina Rumsey",2011,ZDM Mathematics Education,uncoded,primary,"645, 648",pdfs/ZDM/ZDM_Barrett_2011_Children's.pdf
38036,"When obtaining inconsistent measurements using different tools, students blame the physical tools rather than recognizing a flaw in their own measurement scheme.",Two students attributed the inconsistency of their measures with different tools to a poor fit between these tools instead of changing their own scheme.,measurement,length,Measurement consistency,student,grades 2 through 5,ZDM_Barrett_2011_Children's,"Jeffrey E. Barrett, Craig Cullen, Julie Sarama, Douglas H. Clements, David Klanderman, Amanda L. Miller, Chepina Rumsey",2011,ZDM Mathematics Education,uncoded,secondary,641,pdfs/ZDM/ZDM_Barrett_2011_Children's.pdf
